Национальная цель;Показатель;Статистический индикатор;Единица измерения;Тип индикатора;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2035;Нацпроект;Ответственный (ФОИВ);Использовать для агента;Раздел;Декомпозиция по регионам;Периодичность обновления;Ссылка;Год данных;Период;Формат;Примечание;Методика расчета;Тип показателя;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.2. Увеличение ожидаемой продолжительности жизни до 78 лет к 2030 году и до 81 года к 2036 году, в том числе опережающий рост показателей ожидаемой продолжительности здоровой жизни;Дополнительный: Охват населения иммунизацией в рамках национального календаря профилактических прививок не менее 95% от подлежащих иммунизации, %;%;Дополнительный;95;95;95;95;95;95;95;95;95;95;95;ГП «Развитие здравоохранения»;Минздрав России;нет;Social;;;;;;;нарисованный показатель с одной метрикой в 95 %, показатель фиктивный ;;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.2. Увеличение ожидаемой продолжительности жизни до 78 лет к 2030 году и до 81 года к 2036 году, в том числе опережающий рост показателей ожидаемой продолжительности здоровой жизни;Дополнительный: Доля граждан, ведущих здоровый образ жизни, %;%;Дополнительный;7.3;7.2;9.1;9.7;10.5;11;11.5;12;12.7;13.6;14.8;ФП «Здоровье для каждого» (НП «Продолжительная и активная жизнь»);Минздрав России;да;Social;да;ежемесячно;https://www.fedstat.ru/indicator/62943;2025;2025;;;;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.3. Обеспечение не ниже среднероссийских темпов повышения к 2030 году суммарного коэффициента рождаемости в субъектах Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского;1.3. Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского, %;%;Основной;;;;;26.8;41.5;58.5;73.2;90.2;100;;НП «Семья»;Голикова Т.А.;нет;Social;;;;;;;Статистики не будет, можно сделать отдельный расччет для регионов по итогам 2025 г ;;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.3. Обеспечение не ниже среднероссийских темпов повышения к 2030 году суммарного коэффициента рождаемости в субъектах Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского;Дополнительный: Количество семей, охваченных мерами поддержки в рамках региональных программ по повышению рождаемости, семей;семей;Дополнительный;;;;;203844;210104;216260;216260;216260;216260;;ФП «Многодетная семья» (НП «Семья»);Минтруд России;нет;Social;;;;;;;;;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.4. Снижение к 2036 году дифференциации показателей ожидаемой продолжительности жизни не менее чем на 25 процентов по сравнению с уровнем 2023 года;1.4. Дифференциация ожидаемой продолжительности жизни при рождении между городским и сельским населением, лет;лет;Основной;1.1;1.5;1.7;1.7;1.7;1.6;1.6;1.6;1.5;1.5;1.3;НП «Продолжительная и активная жизнь»;Голикова Т.А.;Да;Social;да;год;https://www.fedstat.ru/indicator/63023;2025;2025;Витрина ЕМИСС ;Данные для рассчета будут доступны с апреля 2026 г ;;Обратный;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.4. Снижение к 2036 году дифференциации показателей ожидаемой продолжительности жизни не менее чем на 25 процентов по сравнению с уровнем 2023 года;Дополнительный: Ожидаемая продолжительность жизни при рождении сельского населения, лет;лет;Дополнительный;69.3;71.6;72.1;72.5;73.3;73.9;74.7;75.4;76.2;76.9;80.1;НП «Продолжительная и активная жизнь»;Минздрав России;да ;Social;уточняется ;ежемесячно;https://fedstat.ru/indicator/63024;2025;2025;Витрина ЕМИСС ;"Данные не залиты по ссылке  Частота: годовая, месячная   НП ""Продолжительная и активная жизнь"" ";Методика утверждена первым заместителем Министра здравоохранения Российской Федерации В.С. Фисенко 18.12.2024;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.5. Снижение к 2030 году суммарной продолжительности временной нетрудоспособности граждан в трудоспособном возрасте на основе формирования здорового образа жизни, создания условий для своевременной профилактики заболеваний и привлечения граждан к систематическим занятиям спортом;1.5. Снижение суммарной продолжительности временной нетрудоспособности по заболеванию работающих граждан, %;%;Основной;;;100;98;96.5;94.5;92.5;90;87.5;85;;НП «Продолжительная и активная жизнь»;Голикова Т.А.;уточнить;Social;да;ежемесячно;https://fedstat.ru/indicator/63006;2025;;Витрина ЕМИСС ;Данные по регионам не залиты, используем данные по РФ ;Методика утверждена Первым заместителем Министра здравоохранения Российской Федерации В.С. Фисенко 25.12.2024 (указанным решением утверждена методика расчета показателя «Снижение суммарной продолжительности временной нетрудоспособности по заболеванию работающих лиц»);Обратный;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.5. Снижение к 2030 году суммарной продолжительности временной нетрудоспособности граждан в трудоспособном возрасте на основе формирования здорового образа жизни, создания условий для своевременной профилактики заболеваний и привлечения граждан к систематическим занятиям спортом;Дополнительный: Доля граждан, ведущих здоровый образ жизни, %;%;Дополнительный;7.3;7.2;9.1;9.7;10.5;11;11.5;12;12.7;13.6;;ФП «Здоровье для каждого» (НП «Продолжительная и активная жизнь»);Минздрав России;да;Social;да;да;https://www.fedstat.ru/indicator/62943;2025;2025;Витрина ЕМИСС ;;;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.6. Повышение к 2030 году уровня удовлетворенности граждан условиями для занятий физической культурой и спортом;1.6. Уровень удовлетворенности граждан условиями для занятий физической культурой и спортом, %;%;Основной;59.6;61.7;63.9;64;65;66;67;68;69;70;;Единый план;Чернышенко Д.Н.;да;Social;нет;ежемесячно;https://fedstat.ru/indicator/63119;2025;;Витрина ЕМИСС ;;Приказ Минспорта России от 31.08.2023 № 627 (указанным приказом утверждена методика расчета показателя «Уровень удовлетворенности граждан созданными условиями для занятий физической культурой и спортом»);Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.6. Повышение к 2030 году уровня удовлетворенности граждан условиями для занятий физической культурой и спортом;Дополнительный: Доля граждан, систематически занимающихся физической культурой и спортом, %;%;Дополнительный;49.4;52.9;56.8;57.8;59.8;61.6;63.6;64;67;70;;ГП «Развитие физической культуры и спорта»;Минспорт России;да;Social;да;ежемесячно;https://www.fedstat.ru/indicator/61635;2024;2020-2024;Витрина ЕМИСС ;Ряд закончился в 2024 , иных данных нет (но должны быть) ДОП СТАТ ИНДИКАТОР ;;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.7. Увеличение к 2030 году численности граждан пожилого возраста и инвалидов, получающих услуги долговременного ухода, не менее чем до 500 тыс. человек из числа наиболее нуждающихся в таких услугах;1.7. Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан, %;%;Основной;6.6;8.2;10.3;10.5;10.5;11.2;11.2;17.5;23.9;30.3;;НП «Семья»;Голикова Т.А.;уточнить;Social;;;;;;Витрина ЕМИСС ;;Приказ Минтруда России от 29.11.2024 № 643;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.8. Повышение к 2030 году уровня удовлетворенности участников специальной военной операции условиями для медицинской реабилитации, переобучения и трудоустройства;1.8. Уровень удовлетворенности участников специальной военной операции условиями для медицинской реабилитации, переобучения и трудоустройства, %;%;Основной;*;*;*;*;*;*;*;*;*;*;;Единый план;Голикова Т.А.;нет;Social;;;;;;;Пока не включаем, тк нет никаких метрик ;Не утверждена ;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.9. Создание и запуск к 2030 году цифровой платформы, способствующей формированию, поддержанию и сохранению здоровья человека на протяжении всей его жизни, на базе принципа управления на основе данных;1.9. Создана национальная цифровая платформа «Здоровье», усл. ед.;усл. ед.;Основной;;;;;;;;;;1;;НП «Продолжительная и активная жизнь»;Голикова Т.А.;нет;Social;;;;;;ЕМИСС, формат данных ;Не декомпозируется на регионы ;;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.9. Создание и запуск к 2030 году цифровой платформы, способствующей формированию, поддержанию и сохранению здоровья человека на протяжении всей его жизни, на базе принципа управления на основе данных;Дополнительный: Доля граждан, воспользовавшихся услугами (сервисами) в Личном кабинете пациента «Мое здоровье» на Едином портале государственных услуг и функций, %;%;Дополнительный;;;;;31;36;41;46;51;56;;ФП «Национальная цифровая платформа «Здоровье» (НП «Продолжительная и активная жизнь»);Минздрав России;да;Social;нет;ежемесячно;https://www.fedstat.ru/indicator/63041;;;ЕМИСС, формат данных ;Доп стат индикатор;;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.9. Создание и запуск к 2030 году цифровой платформы, способствующей формированию, поддержанию и сохранению здоровья человека на протяжении всей его жизни, на базе принципа управления на основе данных;Дополнительный: Доля пациентов с социально значимыми хроническими неинфекционными заболеваниями, которым доступен проактивный мониторинг состояния здоровья с использованием цифровых сервисов, %;%;Дополнительный;;;;;5;20;35;50;80;100;;ФП «Национальная цифровая платформа «Здоровье» (НП «Продолжительная и активная жизнь»);Минздрав России;уточнить;Social;;;;2025;;;доп стат индикатор. Пока нет инфо;;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.10. Снижение уровня бедности ниже 7 процентов к 2030 году и ниже 5 процентов к 2036 году, в том числе уровня бедности многодетных семей до 12 процентов к 2030 году и до 8 процентов к 2036 году;1.10.а. Уровень бедности, %;%;Основной;11.1;9;8.5;8.2;7.9;7.6;7.3;7;6.7;6.5;5;Единый план;Голикова Т.А., Новак А.В.;да;Social;да;год;https://fedstat.ru/indicator/59577;2018-2024-2025-2030;;ЕМИСС, формат данных ;Данные за 2024  год, в рамках нового страт цикла данные не опубликованы (возможно будет новая сылка)  ;;Обратный;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.10. Снижение уровня бедности ниже 7 процентов к 2030 году и ниже 5 процентов к 2036 году, в том числе уровня бедности многодетных семей до 12 процентов к 2030 году и до 8 процентов к 2036 году;1.10.б. Уровень бедности среди многодетных семей, %;%;Основной;38.1;29.4;27.2;25.1;22.9;20.7;18.5;16.4;14.2;12;8;НП «Семья»;Голикова Т.А., Новак А.В.;да;Social;нет;год;https://fedstat.ru/indicator/62980;2018-2024-2025-2030;;ЕМИСС, формат данных ;;;Обратный;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.11. Снижение коэффициента Джини (индекс концентрации доходов) до 0.37 к 2030 году и до 0.33 к 2036 году;1.11. Коэффициент Джини (индекс концентрации доходов);;Основной;0.409;0.398;0.405;0.409;0.408;0.401;0.393;0.385;0.377;0.37;0.335;Единый план;Голикова Т.А., Новак А.В.;да;Social;да;год;https://fedstat.ru/indicator/31165;2024;200-2024;ЕМИСС, формат данных ;обратный коэфициент (чем ниже, тем лучше) ;;Обратный;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.12. Обеспечение повышения опережающими темпами минимального размера оплаты труда, в том числе его рост к 2030 году более чем в два раза по сравнению с суммой, установленной на 2023 год, с достижением его величины не менее чем 35 тыс. рублей в месяц;1.12. Соотношение МРОТ и медианной зарплаты за предыдущий год, %;%;Основной;42;47.1;45.9;47.7;48;не менее 48;не менее 48;не менее 48;не менее 48;не менее 48;;Единый план;Голикова Т.А.;уточнить;Social;;;;;;ЕМИСС, формат данных ;данные не опубликованы ;Приказ Минтруда России от 30.01.2025 № 39;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.13. Утверждение в 2026 году новых систем оплаты труда работников государственных и муниципальных организаций и внедрение таких систем с 2027 года в целях обеспечения роста доходов работников бюджетного сектора экономики, предусмотренных указами Президента Российской Федерации от 7 мая 2012 г. № 597 «О мероприятиях по реализации государственной социальной политики», от 1 июня 2012 г. №761 «О Национальной стратегии действий в интересах детей на 2012–2017 годы» и от 28 декабря 2012 г. № 1688 «О некоторых мерах по реализации государственной политики в сфере защиты детей-сирот и детей, оставшихся без попечения родителей»;1.13. Количество субъектов Российской Федерации, в которых проведены пилотные проекты по апробации требований к новым системам оплаты труда, ед.;ед.;Основной;;;;;15;;;;;;;Единый план;Голикова Т.А.;нет;Social;;;;;;;;Приказ Росмоложежи лот 13.12.24 №500;Прямой;
2. Реализация потенциала каждого человека, развитие его талантов, воспитание патриотичной и социально ответственной личности;2.1. Создание к 2030 году условий для воспитания гармонично развитой, патриотичной и социально ответственной личности на основе традиционных российских духовно-нравственных и культурно-исторических ценностей;2.1. Индекс создания условий для воспитания гармонично развитой, патриотичной и социально ответственной личности на основе традиционных российских духовно-нравственных и культурно-исторических ценностей, %;%;Основной;;;;73;75;78;82;85;90;95;;НП «Молодежь и дети»;Чернышенко Д.Н.;да;Social;нет;ежемесячно;https://fedstat.ru/indicator/62934;2025;2025;ЕМИСС, формат данных ;Статистика НЕ представлена в декомпозиции по субъектам РФ. Есть схожий показатель за 2024 г (см в индексе) Дарья, етсь данные в разрезе КПЭ губернаторов-2025 ? ;;Прямой;
2. Реализация потенциала каждого человека, развитие его талантов, воспитание патриотичной и социально ответственной личности;2.2. Увеличение к 2030 году численности иностранных студентов, обучающихся по образовательным программам высшего образования в российских образовательных организациях высшего образования и научных организациях, не менее чем до 500 тыс. человек;2.2. Численность иностранных студентов, обучающихся по образовательным программам высшего образования в российских образовательных организациях высшего образования и научных организациях, тыс. чел.;тыс. чел.;Основной;355;384;389;389;410;425;440;460;480;500;;НП «Молодежь и дети»;Чернышенко Д.Н.;да;Social;нет;месяц;https://fedstat.ru/indicator/62895;2025;2025;ЕМИСС, формат данных ;Характерна для отдельных регионов - научных центров.   ;Распоряжение Минобрнауки России от 24.10.2024 № 399-р;Прямой;
2. Реализация потенциала каждого человека, развитие его талантов, воспитание патриотичной и социально ответственной личности;2.3. Увеличение к 2030 году доли молодых людей, участвующих в проектах и программах, направленных на профессиональное, личностное развитие и патриотическое воспитание, не менее чем до 75 процентов;2.3. Доля молодых людей, участвующих в проектах и программах, направленных на профессиональное, личностное развитие и патриотическое воспитание, %;%;Основной;;;;27.9;38.2;45.5;53;60.4;67.7;75.1;;НП «Молодежь и дети»;Чернышенко Д.Н.;уточнить;Social;нет;ежемесячно;https://fedstat.ru/indicator/62931;2025;2025;ЕМИСС, формат данных ;Статистика НЕ представлена в декомпозиции по субъектам РФ. Есть схожий показатель за 2024 г (см в индексе) Дарья, етсь данные в разрезе КПЭ губернаторов-2025 ? ;Приказ Росмолодежи от 13.12.2024 № 502;Прямой;
2. Реализация потенциала каждого человека, развитие его талантов, воспитание патриотичной и социально ответственной личности;2.3. Увеличение к 2030 году доли молодых людей, участвующих в проектах и программах, направленных на профессиональное, личностное развитие и патриотическое воспитание, не менее чем до 75 процентов;Дополнительный: Доля молодых людей, вовлеченных в мероприятия, направленные на профессиональное развитие, %;%;Дополнительный;;;;18.5;27.9;37.2;46.6;56.2;65.7;75.1;;ФП «Россия - страна возможностей» (НП «Молодежь и дети»);Росмолодежь;уточнить;Social;;;;;;;Нет данных, отсутствует ссылка. Доп показатель ;;Прямой;
2. Реализация потенциала каждого человека, развитие его талантов, воспитание патриотичной и социально ответственной личности;2.3. Увеличение к 2030 году доли молодых людей, участвующих в проектах и программах, направленных на профессиональное, личностное развитие и патриотическое воспитание, не менее чем до 75 процентов;Дополнительный: Доля молодых людей, участвующих в проектах и программах, направленных на патриотическое воспитание, %;%;Дополнительный;;;;42.5;47.9;53.2;58.7;64;69.5;75.1;;ФП «Мы вместе» (Воспитание гармонично развитой личности)» (НП «Молодежь и дети»);Росмолодежь;уточнить;Social;;;;;;;Нет данных, отсутствует ссылка. Доп показатель;;Прямой;
2. Реализация потенциала каждого человека, развитие его талантов, воспитание патриотичной и социально ответственной личности;2.4. Увеличение к 2030 году доли молодых людей, верящих в возможности самореализации в России, не менее чем до 85 процентов;2.4. Доля молодых людей, верящих в возможности самореализации в России, %;%;Основной;;;;83;83;84;84;84;84;85;;НП «Молодежь и дети»;Чернышенко Д.Н.;;;;;;;;;;;;
2. Реализация потенциала каждого человека, развитие его талантов, воспитание патриотичной и социально ответственной личности;2.5. Увеличение к 2030 году доли молодых людей, вовлеченных в добровольческую и общественную деятельность, не менее чем до 45 процентов;2.5. Доля молодых людей, вовлеченных в добровольческую и общественную деятельность, %;%;Основной;;;;28.9;31.7;34.6;37.4;40.2;43;45.8;;НП «Молодежь и дети»;Чернышенко Д.Н.;уточнить;Social;нет;ежемесячно;https://fedstat.ru/indicator/62932;2025;2025;ЕМИСС, формат данных ;Статистика НЕ представлена в декомпозиции по субъектам РФ. Есть схожий показатель за 2024 г (см в индексе) Дарья, етсь данные в разрезе КПЭ губернаторов-2025 ? ;;Прямой;
2. Реализация потенциала каждого человека, развитие его талантов, воспитание патриотичной и социально ответственной личности;2.5. Увеличение к 2030 году доли молодых людей, вовлеченных в добровольческую и общественную деятельность, не менее чем до 45 процентов;Дополнительный: Доля молодых людей, активно использующие единую информационную систему в сфере добровольческой и общественной деятельности «ДОБРО.РФ», %;%;;;;;2;2.7;3.2;3.7;4.3;5;5.7;;ФП «Мы вместе» (Воспитание гармонично развитой личности)» (НП «Молодежь и дети»);Росмолодежь;;;;;;;;;;;;
2. Реализация потенциала каждого человека, развитие его талантов, воспитание патриотичной и социально ответственной личности;2.6. Обеспечение к 2030 году функционирования эффективной системы выявления, поддержки и развития способностей и талантов детей и молодежи, основанной на принципах ответственности, справедливости, всеобщности и направленной на самоопределение и профессиональную ориентацию 100 процентов обучающихся;2.6. Охват обучающихся системой мер по выявлению, поддержке и развитию их способностей и талантов, основанной на принципах ответственности, справедливости, всеобщности и направленной на самоопределение и профессиональную ориентацию, %;%;Основной;;;;;100;100;100;100;100;100;;НП «Молодежь и дети»;Чернышенко Д.Н.;уточнить;Social;нет;ежемесячно;https://fedstat.ru/indicator/62968;2025;2025;ЕМИСС, формат данных ;Ищем альтернативный показатель по статистике  в разбивке по субъектам РФ;Приказ Минпросвещения России от 13.12.2024 № 884;Прямой;
